id,activity_date,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderaly_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories
1624580081,4/12/2016,18060,5.309999943,5.309999943,0,0,0,5.309999943,0,0,0,146,1294,1432
3977333714,4/12/2016,9762,5.980000019,5.980000019,0,3.059999943,0.910000026,2.00999999,0,44,19,131,777,1450
2026352035,4/12/2016,11663,2.74000001,2.74000001,0,0.189999998,0.349999994,2.200000048,0,3,8,181,706,1459
6117666160,4/12/2016,5546,0,0,0,0,0,0,0,0,0,0,1440,1496
3372868164,4/12/2016,10080,3.24000001,3.24000001,0,0,0,3.230000019,0.01,0,0,280,1160,1788
6775888955,4/12/2016,4744,0,0,0,0,0,0,0,0,0,0,1440,1841
4558609924,4/12/2016,7365,3.390000105,3.390000105,0,0,0,3.390000105,0,0,0,318,1122,1909
2873212765,4/12/2016,10352,5.909999847,5.909999847,0,0.109999999,0.930000007,4.880000114,0,2,21,356,1061,1982
1503960366,4/12/2016,36019,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1985
6962181067,4/12/2016,4249,6.739999771,6.739999771,0,3.400000095,0.829999983,2.50999999,0,50,14,189,796,1994
5553957443,4/12/2016,6497,7.570000172,7.570000172,0,1.370000005,0.790000021,5.409999847,0,19,13,277,767,2026
1844505072,4/12/2016,14055,4.429999828,4.429999828,0,0,0,4.429999828,0,0,0,339,1101,2030
8792009665,4/12/2016,0,1.639999986,1.639999986,0,0,0,1.639999986,0,0,0,116,831,2044
8253242879,4/12/2016,2072,7.159999847,7.159999847,0,5.429999828,0.140000001,1.590000033,0,40,2,154,1244,2044
4445114986,4/12/2016,7875,2.200000048,2.200000048,0,0,0,2.200000048,0,0,0,196,787,2113
4319703577,4/12/2016,8796,5.199999809,5.199999809,0,0,0,0,0,0,0,0,1440,2115
2320127002,4/12/2016,11085,7.489999771,7.489999771,0,1.169999957,0.310000002,6.010000229,0,13,9,306,1112,2124
1927972279,4/12/2016,13019,0.469999999,0.469999999,0,0,0,0.469999999,0,0,0,55,734,2220
4057192912,4/12/2016,8859,4.03000021,4.03000021,0,0,0,3.940000057,0,0,0,164,1276,2286
2347167796,4/12/2016,10553,6.829999924,6.829999924,0,2,0.620000005,4.199999809,0,28,13,320,964,2344
2022484408,4/12/2016,12375,8.340000153,8.340000153,0,3.309999943,0.769999981,4.260000229,0,42,14,227,1157,2390
6290855005,4/12/2016,5164,3.450000048,3.450000048,0,0,0,3.450000048,0,0,0,199,1241,2560
8583815059,4/12/2016,152,3.910000086,3.910000086,0,0,0.330000013,3.579999924,0,0,7,196,1237,2650
7086361926,4/12/2016,3335,8.409999847,8.409999847,0,5.269999981,0.150000006,2.970000029,0,59,6,153,745,2772
7007744171,4/12/2016,3703,10.28999996,9.479999542,4.869782925,4.5,0.379999995,5.409999847,0,53,8,355,1024,2937
4702921684,4/12/2016,6910,5.880000114,5.880000114,0,0,0,5.849999905,0,0,0,263,718,2947
4388161847,4/12/2016,8247,7.78000021,7.78000021,0,0,0,0,0,0,0,0,1440,2955
8053475328,4/12/2016,2704,14.11999989,14.11999989,0,11.64000034,0.389999986,2.099999905,0,116,8,123,1193,3186
1644430081,4/12/2016,15108,7.769999981,7.769999981,0,0.140000001,2.299999952,5.329999924,0,2,51,256,1131,3199
5577150313,4/12/2016,6088,6.079999924,6.079999924,0,3.599999905,0.379999995,2.099999905,0,86,16,140,728,3405
8378563200,4/12/2016,1510,6.050000191,6.050000191,2.253081083,0.829999983,0.709999979,4.5,0,65,15,156,723,3635
4020332650,4/12/2016,9261,6.119999886,6.119999886,0,0.150000006,0.239999995,5.679999828,0,4,15,331,712,3654
8877689391,4/12/2016,0,20.39999962,20.39999962,0,12.22000027,0.340000004,7.820000172,0,85,7,312,1036,3921
1624580081,4/13/2016,17298,4.550000191,4.550000191,0,0,0,4.550000191,0,0,0,148,1292,1411
3977333714,4/13/2016,9753,6.710000038,6.710000038,0,2.029999971,2.130000114,2.549999952,0,31,46,153,754,1495
6117666160,4/13/2016,5528,0,0,0,0,0,0,0,0,0,0,1440,1496
2026352035,4/13/2016,11658,3.099999905,3.099999905,0,0,0,3.099999905,0,0,0,238,663,1521
6962181067,4/13/2016,4212,3.74000001,3.74000001,0,0.569999993,1.210000038,1.960000038,0,8,24,142,548,1718
5553957443,4/13/2016,6474,3.160000086,3.160000086,0,0,0,3.160000086,0,0,0,226,647,1718
4558609924,4/13/2016,7359,3.289999962,3.289999962,0,1.24000001,0.439999998,1.610000014,0,19,7,127,1287,1722
1503960366,4/13/2016,29326,6.96999979,6.96999979,0,1.570000052,0.689999998,4.710000038,0,21,19,217,776,1797
1844505072,4/13/2016,14019,3.25999999,3.25999999,0,0,0,3.25999999,0,0,0,248,1192,1860
8792009665,4/13/2016,0,0.839999974,0.839999974,0,0,0,0.839999974,0,0,0,82,806,1934
8253242879,4/13/2016,2064,6.099999905,6.099999905,0,4.170000076,0.629999995,1.309999943,0,35,11,96,1298,1935
4020332650,4/13/2016,9259,0,0,0,0,0,0,0,0,0,0,1440,1981
2320127002,4/13/2016,11045,4.900000095,4.900000095,0,0,0,4.900000095,0,0,0,335,1105,2003
2873212765,4/13/2016,10320,5.119999886,5.119999886,0,0,0.219999999,4.880000114,0.02,0,8,404,1028,2004
2347167796,4/13/2016,10544,7.010000229,7.010000229,0,1.659999967,1.940000057,3.410000086,0,19,32,195,676,2038
3372868164,4/13/2016,10074,6.630000114,6.630000114,0,0.99000001,0.340000004,5.269999981,0.02,16,8,371,1045,2093
4445114986,4/13/2016,7860,1.99000001,1.99000001,0,0,0,1.99000001,0,0,0,194,840,2095
4319703577,4/13/2016,8793,5.5,5.5,0,0.529999971,0.589999974,1.309999943,0,8,15,96,1234,2135
1927972279,4/13/2016,12986,0.25,0.25,0,0,0,0.25,0,0,0,32,986,2151
4057192912,4/13/2016,8857,4.46999979,4.46999979,0,0,0,4.369999886,0,0,0,160,1280,2306
6775888955,4/13/2016,4732,2.910000086,2.910000086,0,1.110000014,0.579999983,1.220000029,0,17,18,85,1053,2400
7086361926,4/13/2016,3325,3.619999886,3.619999886,0,0.560000002,0.209999993,2.839999914,0,31,26,155,744,2516
5577150313,4/13/2016,6083,3.789999962,3.789999962,0,0.319999993,0.219999999,3.25,0,15,11,144,776,2551
2022484408,4/13/2016,12363,8.5,8.5,0,2.99000001,0.100000001,5.409999847,0,43,5,292,1100,2601
8583815059,4/13/2016,149,4.349999905,4.349999905,0,0.150000006,0.970000029,3.230000019,0,2,23,163,1252,2654
7007744171,4/13/2016,3702,9.649999619,8.600000381,4.851306915,4.610000134,0.560000002,4.480000019,0,56,22,261,1101,2742
4702921684,4/13/2016,6907,5.579999924,5.579999924,0,0,0,5.579999924,0,0,0,258,777,2898
1644430081,4/13/2016,15103,5.820000172,5.820000172,0,2.279999971,0.899999976,2.640000105,0,30,16,135,1259,2902
6290855005,4/13/2016,5162,5.400000095,5.400000095,0,0,0,5.389999866,0.01,0,0,350,1090,2905
4388161847,4/13/2016,8242,8.449999809,8.449999809,0,0.059999999,0.629999995,3.880000114,0,1,14,150,1275,3092
8053475328,4/13/2016,2672,13.35000038,13.35000038,0,10.43000031,0.469999999,2.450000048,0,95,12,156,1177,3140
8877689391,4/13/2016,0,9.579999924,9.579999924,0,3.549999952,0.379999995,5.639999866,0,108,18,216,1098,3566
8378563200,4/13/2016,1510,9.819999695,9.819999695,2.092147112,4.960000038,0.649999976,4.210000038,0,116,14,169,680,4079
2026352035,4/14/2016,11611,2.069999933,2.069999933,0,0,0,2.049999952,0,0,0,197,653,1431
3977333714,4/14/2016,9733,5.110000134,5.110000134,0,0.319999993,0.970000029,3.819999933,0,5,23,214,801,1433
6962181067,4/14/2016,4193,1.029999971,1.029999971,0,0,0,1.029999971,0,0,0,86,862,1466
6117666160,4/14/2016,5512,0,0,0,0,0,0,0,0,0,0,1440,1496
1624580081,4/14/2016,17076,5.920000076,5.920000076,0,0,0,5.909999847,0.01,0,0,236,1204,1572
2320127002,4/14/2016,11037,2.680000067,2.680000067,0,0,0,2.680000067,0,0,0,191,1249,1696
8253242879,4/14/2016,1982,3.460000038,3.460000038,0,1.929999948,0.99000001,0.540000021,0,29,16,33,1362,1705
4057192912,4/14/2016,8856,0,0,0,0,0,0,0,0,0,0,1440,1776
1503960366,4/14/2016,27745,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1776
2873212765,4/14/2016,10319,5.320000172,5.320000172,0,0,0,5.320000172,0,0,0,331,1109,1893
4558609924,4/14/2016,7336,4.489999771,4.489999771,0,0,0,4.489999771,0,0,0,279,1161,1922
8792009665,4/14/2016,0,0.779999971,0.779999971,0,0,0,0.779999971,0,0,0,84,853,1963
2347167796,4/14/2016,10538,6.699999809,6.699999809,0,0.02,2.74000001,3.940000057,0,1,48,206,705,2010
4020332650,4/14/2016,9256,0.079999998,0.079999998,0,0,0,0.029999999,0,0,0,3,1437,2011
3372868164,4/14/2016,10060,6.03000021,6.03000021,0,0.340000004,1.029999971,4.650000095,0.01,6,25,370,1039,2065
1844505072,4/14/2016,13953,5.25,5.25,0,0,0,5.230000019,0,0,0,373,843,2130
4445114986,4/14/2016,7851,2.670000076,2.670000076,0,0,0,2.670000076,0,0,0,231,717,2194
4319703577,4/14/2016,8758,6.880000114,6.880000114,0,0.109999999,0.330000013,6.440000057,0,1,9,339,589,2302
2022484408,4/14/2016,12357,7.5,7.5,0,2.480000019,0.209999993,4.820000172,0,32,3,257,1148,2312
5553957443,4/14/2016,6474,11.11999989,11.11999989,0,4,2.450000048,4.670000076,0,61,41,256,693,2324
1927972279,4/14/2016,12961,1.5,1.5,0,0,0.400000006,1.100000024,0,0,9,88,1292,2383
8583815059,4/14/2016,144,2.450000048,2.450000048,0,0,0,2.430000067,0,0,0,134,1306,2443
6775888955,4/14/2016,4729,3.700000048,3.700000048,0,0.870000005,0.860000014,1.970000029,0,14,24,105,863,2507
7007744171,4/14/2016,3689,8.239999771,7.480000019,3.285414934,2.950000048,0.340000004,4.960000038,0,34,6,304,1096,2668
7086361926,4/14/2016,3321,6.119999886,6.119999886,0,2.029999971,0.330000013,3.660000086,0,35,32,189,787,2734
6290855005,4/14/2016,5161,5.800000191,5.800000191,0,0,0,5.769999981,0.029999999,0,0,363,1077,2952
4702921684,4/14/2016,6905,6.369999886,6.369999886,0,0,0,6.369999886,0,0,0,271,772,2984
4388161847,4/14/2016,8240,6.820000172,6.820000172,0,0.129999995,1.070000052,5.619999886,0,10,35,219,945,2998
1644430081,4/14/2016,15090,8.020000458,8.020000458,0,0.360000014,2.559999943,5.099999905,0,5,58,252,1125,3226
8053475328,4/14/2016,2661,15.97000027,15.97000027,0,12.34000015,0.209999993,3.359999895,0,119,5,193,1123,3411
8877689391,4/14/2016,0,18.97999954,18.97999954,0,10.55000019,0.589999974,7.75,0.02,68,13,298,1061,3793
5577150313,4/14/2016,6076,6.420000076,6.420000076,0,3.329999924,0.310000002,2.779999971,0,118,30,176,662,4022
